Label,Source,Pop16Plus,Pop65Plus,PopYouth
City of Agoura Hills,BOS,18019,3696,572
City of Alhambra,BOS,72940,14764,1627
City of Arcadia,BOS,51103,10938,1437
City of Artesia,BOS,14266,2636,389
City of Avalon,BOS,3077,596,77
City of Azusa,BOS,41247,5478,1442
City of Baldwin Park,BOS,60553,8648,2300
City of Bell,BOS,27886,3306,1140
City of Bell Gardens,BOS,32283,3196,1443
City of Bellflower,BOS,61727,9243,2163
City of Beverly Hills,BOS,30382,6990,723
City of Bradbury,BOS,941,285,16
City of Burbank,BOS,89490,16273,2201
City of Calabasas,BOS,20686,4285,698
City of Carson,BOS,77526,15713,2254
City of Cerritos,BOS,44733,11939,1125
City of Claremont,BOS,32385,6907,753
City of Commerce,BOS,10126,1553,347
City of Compton,BOS,73961,8557,3152
City of Covina,BOS,39838,7033,1179
City of Cudahy,BOS,18295,1778,818
City of Culver City,BOS,33638,7150,798
City of Diamond Bar,BOS,49867,10228,1244
City of Downey,BOS,91339,14024,3067
City of Duarte,BOS,18158,4042,504
City of El Monte,BOS,92175,14203,3349
City of El Segundo,BOS,14398,2272,379
City of Gardena,BOS,49730,10175,1395
City of Glendale,BOS,177007,37486,3815
City of Glendora,BOS,44071,8680,1188
City of Hawaiian Gardens,BOS,11169,1570,441
City of Hawthorne,BOS,68128,9040,2348
City of Hermosa Beach,BOS,16777,2309,388
City of Hidden Hills,BOS,1685,396,54
City of Huntington Park,BOS,45409,5321,1845
City of Industry,BOS,387,56,2
City of Inglewood,BOS,89367,13587,2982
City of Irwindale,BOS,1243,217,31
City of La Canada Flintridge,BOS,18368,4237,563
City of La Habra Heights,BOS,4904,1442,125
City of La Mirada,BOS,41920,8182,1117
City of La Puente,BOS,32241,4683,1192
City of La Verne,BOS,28739,6693,812
City of Lakewood,BOS,66714,12110,2003
City of Lancaster,BOS,125124,16810,4982
City of Lawndale,BOS,26413,3460,885
City of Lomita,BOS,16936,3370,467
City of Long Beach,BOS,380767,56619,11432
City of Lynwood,BOS,53781,5487,2277
City of Malibu,BOS,11005,3085,308
City of Manhattan Beach,BOS,29889,5748,1156
City of Maywood,BOS,21041,2285,910
City of Monrovia,BOS,31151,5653,902
City of Montebello,BOS,51676,9814,1730
City of Monterey Park,BOS,52776,13057,1231
City of Norwalk,BOS,85167,13089,3041
City of Palmdale,BOS,122212,15359,4914
City of Palos Verdes Estates,BOS,12076,3695,380
City of Paramount,BOS,42380,4800,1724
City of Pasadena,BOS,120740,22815,2969
City of Pico Rivera,BOS,51374,8742,1816
City of Pomona,BOS,120081,15668,4393
City of Rancho Palos Verdes,BOS,37678,10456,1148
City of Redondo Beach,BOS,55629,9791,1388
City of Rolling Hills,BOS,1766,579,44
City of Rolling Hills Estates,BOS,7346,2149,253
City of Rosemead,BOS,45986,8950,1358
City of San Dimas,BOS,29867,7042,802
City of San Fernando,BOS,19438,2574,740
City of San Gabriel,BOS,34577,6941,856
City of San Marino,BOS,11597,2778,449
City of Santa Clarita,BOS,176831,25541,6171
City of Santa Fe Springs,BOS,14943,2862,468
City of Santa Monica,BOS,81541,15757,1290
City of Sierra Madre,BOS,9509,2601,254
City of Signal Hill,BOS,9305,1523,259
City of South El Monte,BOS,16486,2381,628
City of South Gate,BOS,74389,9210,2934
City of South Pasadena,BOS,22155,4123,649
City of Temple City,BOS,31528,7036,867
City of Torrance,BOS,124794,24948,3517
City of Vernon,BOS,230,7,8
City of Walnut,BOS,27126,6239,668
City of West Covina,BOS,88873,16737,2658
City of West Hollywood,BOS,34326,5467,131
City of Westlake Village,BOS,7436,2149,202
City of Whittier,BOS,70656,11804,2292
Los Angeles - Adams-Normandie,LA City,6511,867,211
Los Angeles - Alsace,LA City,9551,1042,351
Los Angeles - Angeles National Forest,LA City,38,10,0
Los Angeles - Angelino Heights,LA City,2077,321,46
Los Angeles - Arleta,LA City,27206,3834,872
Los Angeles - Atwater Village,LA City,12795,2620,275
Los Angeles - Baldwin Hills,LA City,24686,4963,734
Los Angeles - Bel Air,LA City,7164,2113,196
Los Angeles - Beverly Crest,LA City,10273,3018,313
Los Angeles - Beverlywood,LA City,10108,1825,352
Los Angeles - Boyle Heights,LA City,65483,7962,2848
Los Angeles - Brentwood,LA City,26320,5645,521
Los Angeles - Brookside,LA City,462,97,5
Los Angeles - Cadillac-Corning,LA City,5638,635,213
Los Angeles - Canoga Park,LA City,51304,6446,1766
Los Angeles - Carthay,LA City,12443,2301,102
Los Angeles - Central,LA City,28582,2581,1285
Los Angeles - Century City,LA City,10589,2864,207
Los Angeles - Century Palms/Cove,LA City,24721,2414,1039
Los Angeles - Chatsworth,LA City,31934,7640,809
Los Angeles - Cheviot Hills,LA City,7395,1964,261
Los Angeles - Chinatown,LA City,7441,1771,149
Los Angeles - Cloverdale/Cochran,LA City,11658,1592,389
Los Angeles - Country Club Park,LA City,12607,2410,296
Los Angeles - Crenshaw District,LA City,11229,2217,382
Los Angeles - Crestview,LA City,9029,1553,228
Los Angeles - Del Rey,LA City,24687,4690,607
Los Angeles - Downtown,LA City,32266,4829,231
Los Angeles - Eagle Rock,LA City,33174,6594,844
Los Angeles - East Hollywood,LA City,24278,3952,602
Los Angeles - Echo Park,LA City,12147,1825,211
Los Angeles - El Sereno,LA City,33277,5415,1070
Los Angeles - Elysian Park,LA City,4838,828,90
Los Angeles - Elysian Valley,LA City,8249,1496,211
Los Angeles - Encino,LA City,37408,9736,934
Los Angeles - Exposition,LA City,2673,359,80
Los Angeles - Exposition Park,LA City,36171,3809,1096
Los Angeles - Faircrest Heights,LA City,2972,562,96
Los Angeles - Figueroa Park Square,LA City,6785,940,240
Los Angeles - Florence-Firestone,LA City,34230,3099,1560
Los Angeles - Glassell Park,LA City,25558,4733,726
Los Angeles - Gramercy Place,LA City,8956,1963,299
Los Angeles - Granada Hills,LA City,49282,9937,1333
Los Angeles - Green Meadows,LA City,15495,1580,686
Los Angeles - Hancock Park,LA City,13895,2881,493
Los Angeles - Harbor City,LA City,23143,4304,694
Los Angeles - Harbor Gateway,LA City,33924,4908,1207
Los Angeles - Harbor Pines,LA City,1943,388,58
Los Angeles - Harvard Heights,LA City,14093,1927,445
Los Angeles - Harvard Park,LA City,29098,3687,1109
Los Angeles - Highland Park,LA City,38099,5595,1173
Los Angeles - Historic Filipinotown,LA City,11283,1807,309
Los Angeles - Hollywood,LA City,61217,8254,832
Los Angeles - Hollywood Hills,LA City,25698,4376,300
Los Angeles - Hyde Park,LA City,22545,3781,736
Los Angeles - Jefferson Park,LA City,6266,901,235
Los Angeles - Koreatown,LA City,42577,6346,1053
Los Angeles - Lafayette Square,LA City,3612,530,107
Los Angeles - Lake Balboa,LA City,33490,5077,1067
Los Angeles - Lakeview Terrace,LA City,10445,1550,402
Los Angeles - Leimert Park,LA City,12652,2543,315
Los Angeles - Lincoln Heights,LA City,25595,4118,797
Los Angeles - Little Armenia,LA City,6841,1170,136
Los Angeles - Little Bangladesh,LA City,23428,3151,558
Los Angeles - Little Tokyo,LA City,2898,731,22
Los Angeles - Longwood,LA City,3445,504,107
Los Angeles - Los Feliz,LA City,18815,3564,263
Los Angeles - Manchester Square,LA City,6911,1270,195
Los Angeles - Mandeville Canyon,LA City,2665,872,85
Los Angeles - Mar Vista,LA City,34676,6593,736
Los Angeles - Marina Peninsula,LA City,3805,1055,40
Los Angeles - Melrose,LA City,64239,9269,1365
Los Angeles - Mid-city,LA City,12445,2109,266
Los Angeles - Miracle Mile,LA City,15523,2271,201
Los Angeles - Mission Hills,LA City,19434,3465,607
Los Angeles - Mt. Washington,LA City,19525,3470,585
Los Angeles - North Hills,LA City,48131,6700,1824
Los Angeles - North Hollywood,LA City,122758,16762,3262
Los Angeles - Northridge,LA City,59808,10314,1357
Los Angeles - Pacific Palisades,LA City,17576,4938,656
Los Angeles - Pacoima,LA City,57066,6484,2393
Los Angeles - Palisades Highlands,LA City,3300,1001,118
Los Angeles - Palms,LA City,36835,4436,577
Los Angeles - Panorama City,LA City,57646,7146,2165
Los Angeles - Park La Brea,LA City,10931,1113,255
Los Angeles - Pico-Union,LA City,32622,4223,1051
Los Angeles - Playa Del Rey,LA City,2706,625,35
Los Angeles - Playa Vista,LA City,9091,1223,96
Los Angeles - Porter Ranch,LA City,30695,7674,884
Los Angeles - Rancho Park,LA City,5151,985,170
Los Angeles - Regent Square,LA City,2255,327,65
Los Angeles - Reseda,LA City,61896,10068,1903
Los Angeles - Reseda Ranch,LA City,3771,584,98
Los Angeles - Reynier Village,LA City,3370,560,80
Los Angeles - San Pedro,LA City,62326,11746,1865
Los Angeles - Shadow Hills,LA City,3867,875,95
Los Angeles - Sherman Oaks,LA City,72598,13322,1549
Los Angeles - Silverlake,LA City,37457,6161,705
Los Angeles - South Carthay,LA City,8489,1534,139
Los Angeles - South Park,LA City,27305,2226,1217
Los Angeles - St Elmo Village,LA City,3590,432,124
Los Angeles - Studio City,LA City,18996,3730,385
Los Angeles - Sun Valley,LA City,41254,6287,1369
Los Angeles - Sunland,LA City,17414,3826,344
Los Angeles - Sycamore Square,LA City,556,64,5
Los Angeles - Sylmar,LA City,64481,8774,2657
Los Angeles - Tarzana,LA City,25656,5763,691
Los Angeles - Temple-Beaudry,LA City,31707,4065,948
Los Angeles - Thai Town,LA City,8726,1592,130
Los Angeles - Toluca Lake,LA City,7639,1302,91
Los Angeles - Toluca Terrace,LA City,995,110,18
Los Angeles - Toluca Woods,LA City,1595,383,33
Los Angeles - Tujunga,LA City,23381,4861,567
Los Angeles - University Hills,LA City,2882,375,63
Los Angeles - University Park,LA City,23956,1591,368
Los Angeles - Valley Glen,LA City,24410,4112,650
Los Angeles - Valley Village,LA City,20651,3666,413
Los Angeles - Van Nuys,LA City,72201,8974,2365
Los Angeles - Venice,LA City,28698,4449,436
Los Angeles - Vermont Knolls,LA City,13177,1778,539
Los Angeles - Vermont Square,LA City,5871,770,213
Los Angeles - Vermont Vista,LA City,29572,2804,1387
Los Angeles - Vernon Central,LA City,37519,3139,1775
Los Angeles - Victoria Park,LA City,6618,1048,202
Los Angeles - View Heights,LA City,3122,639,84
Los Angeles - Watts,LA City,29875,2533,1568
Los Angeles - Wellington Square,LA City,3867,660,124
Los Angeles - West Adams,LA City,21748,3384,706
Los Angeles - West Hills,LA City,34938,7896,993
Los Angeles - West Los Angeles,LA City,32711,4467,374
Los Angeles - West Vernon,LA City,40802,4859,1520
Los Angeles - Westchester,LA City,43503,7452,887
Los Angeles - Westlake,LA City,47668,5527,1378
Los Angeles - Westwood,LA City,49020,6112,559
Los Angeles - Wholesale District,LA City,32528,3464,539
Los Angeles - Wilmington,LA City,42449,5071,1813
Los Angeles - Wilshire Center,LA City,40599,5492,983
Los Angeles - Winnetka,LA City,41471,6452,1225
Los Angeles - Woodland Hills,LA City,57284,12806,1455
Unincorporated - Acton,BOS,6961,1458,178
Unincorporated - Agua Dulce,BOS,3736,925,88
Unincorporated - Altadena,BOS,36812,8134,1048
Unincorporated - Anaverde,BOS,1278,279,40
Unincorporated - Angeles National Forest,BOS,1096,211,21
Unincorporated - Arcadia,BOS,6604,1512,180
Unincorporated - Athens Village,BOS,3802,493,159
Unincorporated - Athens-Westmont,BOS,32690,4431,1283
Unincorporated - Avocado Heights,BOS,5387,799,203
Unincorporated - Azusa,BOS,12142,1667,436
Unincorporated - Bandini Islands,BOS,0,0,0
Unincorporated - Bassett,BOS,11723,1973,413
Unincorporated - Bouquet Canyon,BOS,909,237,27
Unincorporated - Bradbury,BOS,101,94,0
Unincorporated - Canyon Country,BOS,1575,255,53
Unincorporated - Castaic,BOS,22736,2259,713
Unincorporated - Cerritos,BOS,459,81,9
Unincorporated - Charter Oak,BOS,19,4,0
Unincorporated - Claremont,BOS,574,140,38
Unincorporated - Covina,BOS,13789,2461,430
Unincorporated - Covina (Charter Oak),BOS,10961,1847,322
Unincorporated - Del Aire,BOS,3580,532,89
Unincorporated - Del Rey,BOS,373,107,9
Unincorporated - Del Sur,BOS,2129,543,51
Unincorporated - Desert View Highlands,BOS,2010,341,67
Unincorporated - Duarte,BOS,3440,463,125
Unincorporated - East Covina,BOS,311,103,6
Unincorporated - East La Mirada,BOS,4455,780,131
Unincorporated - East Lancaster,BOS,94,13,4
Unincorporated - East Los Angeles,BOS,94756,12269,3866
Unincorporated - East Pasadena,BOS,6432,1549,178
Unincorporated - East Rancho Dominguez,BOS,11160,1157,500
Unincorporated - East Whittier,BOS,4315,701,136
Unincorporated - El Camino Village,BOS,6806,1030,233
Unincorporated - El Monte,BOS,103,10,5
Unincorporated - Elizabeth Lake,BOS,1444,270,34
Unincorporated - Florence-Firestone,BOS,47572,4803,2063
Unincorporated - Franklin Canyon,BOS,11,2,0
Unincorporated - Glendora,BOS,591,140,13
Unincorporated - Hacienda Heights,BOS,47816,10786,1242
