"GEOID","NAME","Total","H_Total","majority","hispanic","group"
"06037109400","Census Tract 1094, Los Angeles County, California",3903,2898,"H_Other",1,"3001-4500"
"06037109601","Census Tract 1096.01, Los Angeles County, California",4945,3453,"H_Other",1,"4501-6000"
"06037109603","Census Tract 1096.03, Los Angeles County, California",4297,3042,"H_Other",1,"3001-4500"
"06037109604","Census Tract 1096.04, Los Angeles County, California",3195,2198,"H_Other",1,"3001-4500"
"06037109800","Census Tract 1098, Los Angeles County, California",5534,3209,"H_Other",1,"4501-6000"
"06037113233","Census Tract 1132.33, Los Angeles County, California",7345,4299,"H_Other",1,"6001-7500"
"06037113401","Census Tract 1134.01, Los Angeles County, California",6550,3161,"H_Other",1,"6001-7500"
"06037113421","Census Tract 1134.21, Los Angeles County, California",6879,3985,"H_Other",1,"6001-7500"
"06037115403","Census Tract 1154.03, Los Angeles County, California",3583,1975,"H_Other",1,"3001-4500"
"06037117201","Census Tract 1172.01, Los Angeles County, California",5191,3498,"H_Other",1,"4501-6000"
"06037117405","Census Tract 1174.05, Los Angeles County, California",3574,3315,"H_Other",1,"3001-4500"
"06037117407","Census Tract 1174.07, Los Angeles County, California",3836,3662,"H_Other",1,"3001-4500"
"06037117408","Census Tract 1174.08, Los Angeles County, California",3073,2455,"H_Other",1,"3001-4500"
"06037117510","Census Tract 1175.10, Los Angeles County, California",3687,2937,"H_Other",1,"3001-4500"
"06037117520","Census Tract 1175.20, Los Angeles County, California",4168,3430,"H_Other",1,"3001-4500"
"06037117530","Census Tract 1175.30, Los Angeles County, California",6742,5372,"H_Other",1,"6001-7500"
"06037119310","Census Tract 1193.10, Los Angeles County, California",4087,2686,"H_Other",1,"3001-4500"
"06037119320","Census Tract 1193.20, Los Angeles County, California",4906,3426,"H_Other",1,"4501-6000"
"06037119340","Census Tract 1193.40, Los Angeles County, California",4264,3999,"H_Other",1,"3001-4500"
"06037119341","Census Tract 1193.41, Los Angeles County, California",2890,1560,"H_Other",1,"1500-3000"
"06037119342","Census Tract 1193.42, Los Angeles County, California",2911,2249,"H_Other",1,"1500-3000"
"06037119900","Census Tract 1199, Los Angeles County, California",5245,3526,"H_Other",1,"4501-6000"
"06037120010","Census Tract 1200.10, Los Angeles County, California",2704,1985,"H_Other",1,"1500-3000"
"06037120020","Census Tract 1200.20, Los Angeles County, California",3872,2849,"H_Other",1,"3001-4500"
"06037120030","Census Tract 1200.30, Los Angeles County, California",2666,2342,"H_Other",1,"1500-3000"
"06037120103","Census Tract 1201.03, Los Angeles County, California",3452,3236,"H_Other",1,"3001-4500"
"06037120104","Census Tract 1201.04, Los Angeles County, California",2228,1447,"H_Other",1,"1500-3000"
"06037120105","Census Tract 1201.05, Los Angeles County, California",2832,2153,"H_Other",1,"1500-3000"
"06037120106","Census Tract 1201.06, Los Angeles County, California",4763,3834,"H_Other",1,"4501-6000"
